Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Traser;Quartz;Plastic;Leather;2020.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;275.0;Item is in stock;Circular;759.88;;;Green;Brown;;;;0;0;0;
Alexander Shorokhoff;Automatic;Steel;;2020.0;Used (Good);Original box, original papers;Men's watch/Unisex;5401.0;Item is in stock;Circular;725.7325000000001;3.0;Sapphire crystal;;;;;;0;0;0;
Roger Dubuis;Manual winding;Rose gold;Alligator skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;7999.0;Item is in stock;Rectangular;1696.0;;;;;;902.0;431.0;1;1;1;601.0
Alpina;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;1161.0;Item is in stock;Circular;692.37;5.0;Sapphire crystal;Grey;;Buckle;2477.0;1732.0;0;1;1;2037.0
Hublot;Automatic;Rose gold;Leather;2012.0;Used (Very good);Original box, original papers;;21319.0;Item is in stock;Circular;794.8125;5.0;Sapphire crystal;Black;;Fold clasp;554.0;767.0;1;1;1;377.0
Vostok;Quartz;Steel;Silicon;;New;Original box, original papers;Men's watch/Unisex;345.0;Item is in stock;Circular;725.7325000000001;20.0;Mineral Glass;Blue;Blue;Buckle;1606.0;986.0;1;1;1;1188.0
Urwerk;Automatic;Titanium;Rubber;;Used (Very good);Original box, original papers;Men's watch/Unisex;49687.0;Item is in stock;Circular;659.7925;;;Orange;Black;Double-fold clasp;5.0;33.0;0;1;1;4.0
Venezianico;Automatic;Steel;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;692.37;20.0;Sapphire crystal;Black;;;;;0;0;0;
Chronographe Suisse Cie;Manual winding;Rose gold;Leather;1950.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1242.0;Item needs to be procured;Circular;566.77;;;;;;181.0;36.0;0;1;1;145.0
Nivada;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;1188.0;Item needs to be procured;Rectangular;1710.0;10.0;Sapphire crystal;Black;Black;Buckle;1072.0;1397.0;1;1;1;940.0
Tiffany;Quartz;Steel;Leather;;Used (Fair);Original papers, no original box;Women's watch;637.0;Item is in stock;Circular;307.72;;;Pink;;;17850.0;12041.0;1;1;1;12521.0
Chaumet;Quartz;Steel;Leather;2014.0;Used (Good);No original box, no original papers;Women's watch;1282.0;Item is in stock;Circular;353.25;;;Silver;Grey;Buckle;701.0;426.0;1;1;1;482.0
Ernst Benz;Automatic;Steel;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;2260.0;Item is in stock;Circular;867.0325;;;Black;Black;;251.0;762.0;0;0;1;157.0
Davosa;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;1394.0;Item is in stock;Circular;628.0;20.0;Sapphire crystal;;Silver;Fold clasp;8539.0;2540.0;0;1;1;4710.0
Graham;Automatic;Steel;Leather;2005.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3791.0;Item is in stock;Circular;725.7325000000001;;;Black;Black;;;;0;0;0;
Grand Seiko;Automatic;Titanium;Titanium;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;6499.0;Item is in stock;Rectangular;1880.0;;;Pink;Silver;;;;0;0;0;
HYT;Manual winding;Titanium;Rubber;2021.0;New;Original box, original papers;Men's watch/Unisex;32600.0;Item is in stock;;;;;Black;;;327.0;574.0;0;0;1;212.0
Clerc;Automatic;Steel;Rubber;;Used (Fair);No original box, no original papers;Men's watch/Unisex;1381.0;Item is in stock;Circular;904.32;;;Silver;;;17850.0;12041.0;1;1;1;12521.0
Junghans;Quartz;Steel;Leather;2024.0;Used (Very good);Original box, original papers;Men's watch/Unisex;864.0;Item is in stock;Rectangular;1520.0;3.0;Plexiglass;Silver;Brown;Buckle;77.0;70.0;1;1;1;65.0
Patek Philippe;Manual winding;White gold;;1960.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;25000.0;Item is in stock;;;;;Silver;;;119.0;59.0;1;1;1;78.0
Perseo;Manual winding;Yellow gold;;1970.0;Like new & unworn;Original papers, no original box;Men's watch/Unisex;1295.0;Item is in stock;Circular;453.73;;Plexiglass;;;;;;0;0;0;
Movado;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Women's watch;645.0;Item is in stock;Rectangular;470.02;;Sapphire crystal;;;Jewelry clasp;545.0;2782.0;0;1;1;371.0
Luminox;Quartz;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;496.0;Item is in stock;Rectangular;504.0;10.0;Sapphire crystal;Black;Silver;Fold clasp;2069.0;450.0;1;1;1;1305.0
Orient;Automatic;Steel;Calf skin;;Like new & unworn;Original box, no original papers;Men's watch/Unisex;274.0;Item is in stock;;;;;Black;Black;Fold clasp, hidden;;;0;0;0;
;;;;;;;;;;;;;;;;;;;0;0;0;
Union Glashütte;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2177.0;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Grey;Grey;Fold clasp;723.0;497.0;1;0;1;548.0
Rado;Quartz;;Ceramic;;New;Original box, original papers;Women's watch;839.0;Item is in stock;Circular;141.6925;3.0;Sapphire crystal;White;White;Fold clasp;376.0;466.0;0;0;1;233.0
Momo Design;Quartz;Titanium;Rubber;2000.0;Used (Good);Original box, original papers;Men's watch/Unisex;918.0;Item is in stock;Circular;878.1363249999998;3.0;;Black;;Double-fold clasp;2999.0;9673.0;1;1;1;2049.0
Blancpain;Automatic;Rose gold;Leather;2022.0;New;Original box, original papers;Men's watch/Unisex;23999.0;Item available on request;Circular;794.8125;30.0;Sapphire crystal;Blue;Blue;Fold clasp;1281.0;1384.0;1;1;1;798.0
Arnold & Son;Manual winding;Yellow gold;;;Used (Very good);No original box, no original papers;Men's watch/Unisex;9305.0;Item is in stock;;;;;Black;;;116.0;1196.0;0;1;1;94.0
Lanco;Manual winding;Steel;Calf skin;1940.0;Used (Fair);No original box, no original papers;;668.0;Item needs to be procured;Rectangular;590.0;;;;;;866.0;812.0;0;1;1;577.0
Victorinox Swiss Army;Quartz;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;449.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Blue;;Buckle;770.0;480.0;0;1;1;566.0
Grand Seiko;Automatic;Steel;Steel;;Used (Very good);Original box, original papers;;4500.0;Item is in stock;Circular;628.0;;;Blue;Steel;;896.0;546.0;1;1;1;696.0
Locman;Quartz;Titanium;;;Used (Good);No original box, no original papers;Men's watch/Unisex;108.0;Item is in stock;Circular;904.32;;;Black;;;;;0;0;0;
Poljot;Manual winding;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;867.0325;10.0;Mineral Glass;Black;Brown;Buckle;804.0;176.0;1;0;1;551.0
Junghans;Quartz;Steel;Leather;;New;Original box, original papers;;667.0;Item is in stock;Circular;419.6963250000001;3.0;Sapphire crystal;;Black;Buckle;1175.0;876.0;1;0;1;648.0
Fortis;;;;2019.0;Used (Very good);Original box, original papers;;2148.0;Item is in stock;;;;;;;;579.0;112.0;1;1;1;494.0
Seiko;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;575.0;Item is in stock;Circular;682.5143250000001;20.0;Mineral Glass;Black;Steel;Fold clasp;1461.0;345.0;1;1;1;1007.0
Waltham;Manual winding;Steel;;1874.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;245.0;Item is in stock;Rectangular;4466.0;;;White;;;1391.0;1102.0;1;1;1;860.0
Erwin Sattler;Automatic;Steel;;;Like new & unworn;Original box, original papers;;;Item is in stock;Circular;759.88;;;;;;504.0;295.0;1;1;1;397.0
Graham;Automatic;Titanium;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;2250.0;Item is in stock;Circular;867.0325;10.0;;Silver;Brown;;1504.0;573.0;1;1;1;1103.0
Mühle Glashütte;Automatic;Steel;Leather;2021.0;Used (Very good);Original box, original papers;Men's watch/Unisex;1550.0;Item is in stock;Circular;659.7925;10.0;Sapphire crystal;Blue;Black;Fold clasp;34.0;17.0;1;1;1;18.0
Patek Philippe;Automatic;Platinum;Crocodile skin;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;2200000.0;Item is in stock;Circular;787.7632;;Sapphire crystal;Black;Black;Fold clasp;55.0;370.0;0;1;1;33.0
Versace;Quartz;Steel;Steel;;;Original box, no original papers;Men's watch/Unisex;488.0;Item needs to be procured;Circular;830.5300000000001;;;Black;Steel;;3506.0;2620.0;1;1;1;2175.0
Andersen Genève;Manual winding;White gold;Leather;2014.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;33670.0;Item needs to be procured;Circular;759.88;1.0;Sapphire crystal;Blue;Beige;Buckle;104.0;203.0;1;1;1;79.0
Omega;Automatic;Steel;Steel;2014.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3750.0;Item is in stock;Rectangular;1932.0;;Sapphire crystal;Black;Steel;Fold clasp;1391.0;490.0;1;1;1;992.0
Seiko;Automatic;Steel;Steel;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;1020.0;Item is in stock;Circular;643.798125;20.0;Sapphire crystal;Grey;Steel;Fold clasp;156.0;96.0;1;1;1;110.0
Louis Vuitton;Quartz;Steel;;;Used (Very good);Original box, original papers;;1349.0;Item needs to be procured;Circular;596.9925000000001;;;Brown;Brown;;589.0;649.0;0;1;1;410.0
Rotary;Quartz;Steel;Calf skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;301.0;Item is in stock;Circular;330.09250000000003;5.0;Sapphire crystal;Silver;Black;Buckle;14627.0;5541.0;1;1;1;7424.0
Dewitt;Manual winding;;;;Used (Very good);No original box, no original papers;Men's watch/Unisex;27300.0;Item needs to be procured;Circular;725.7325000000001;3.0;Sapphire crystal;;;Buckle;777.0;980.0;1;1;1;524.0
Mido;Automatic;Steel;Rubber;;New;Original box, no original papers;Men's watch/Unisex;795.0;Item is in stock;Circular;708.953125;20.0;Sapphire crystal;Blue;Blue;Fold clasp;319.0;943.0;1;1;1;162.0
Versace;Quartz;Steel;Steel;2021.0;New;Original box, original papers;Women's watch;485.0;Item is in stock;Rectangular;880.0;;Sapphire crystal;White;;;1978.0;176.0;1;1;1;1294.0
HYT;Manual winding;Steel;Rubber;;Like new & unworn;Original box, original papers;;17178.0;Item is in stock;Circular;934.7151999999999;5.0;;Black;Black;Fold clasp;1408.0;711.0;0;0;1;958.0
Anonimo;Automatic;Steel;Leather;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;2053.0;Item is in stock;Circular;692.37;;;Black;Black;Buckle;;;0;0;0;
Chopard;Quartz;Yellow gold;Yellow gold;;Used (Good);No original box, no original papers;Women's watch;;Item is in stock;Circular;141.6925;1.0;;White;Gold;Jewelry clasp;84.0;93.0;1;1;1;63.0
Mathey-Tissot;Quartz;;;2019.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;107.0;Item is in stock;Rectangular;210.0;;;;;;;;0;0;0;
Venezianico;Automatic;;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;438.0;Item is in stock;Circular;596.9925000000001;;;;Steel;;;;0;0;0;
Richard Mille;Automatic;;;2023.0;New;Original box, original papers;Men's watch/Unisex;515000.0;Item is in stock;Circular;981.25;5.0;Sapphire crystal;;Blue;Fold clasp;159.0;811.0;0;1;1;130.0
Rado;Automatic;Steel;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;1824.0;Item is in stock;;;10.0;Sapphire crystal;Black;Steel;Fold clasp;28.0;129.0;0;1;1;27.0
Longines;Quartz;Steel;Steel;;;Original box, original papers;;1109.0;Item is in stock;;;3.0;;Blue;Steel;;1220.0;520.0;1;1;1;852.0
Cuervo y Sobrinos;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;1896.0;Item needs to be procured;Circular;628.0;3.0;Sapphire crystal;Brown;Brown;Fold clasp;5461.0;4128.0;0;1;1;3305.0
Sinn;Automatic;Steel;Steel;2021.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;2022.0;Item is in stock;Circular;692.37;50.0;Sapphire crystal;Black;Steel;Fold clasp;2481.0;684.0;1;1;1;1600.0
Waltham;Manual winding;Yellow gold;;1900.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;5000.0;Item is in stock;;;;;White;;;;;0;0;0;
Chopard;Automatic;Titanium;Titanium;2017.0;Used (Very good);Original box, original papers;Men's watch/Unisex;4869.0;Item is in stock;Circular;777.2481250000001;;Sapphire crystal;Silver;;Fold clasp;2222.0;4987.0;1;1;1;1454.0
Laco;Quartz;Steel;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;428.0;Item is in stock;Circular;628.0;;;Black;Brown;;6076.0;1252.0;1;1;1;4239.0
Ralf Tech;;Titanium;;;New;Original box, original papers;Men's watch/Unisex;4862.0;Item needs to be procured;Circular;885.578125;100.0;Sapphire crystal;Black;Black;Buckle;3108.0;736.0;0;1;1;2199.0
Universal Genève;Manual winding;Steel;;1950.0;Used (Good);No original box, no original papers;Men's watch/Unisex;1675.0;Item is in stock;Rectangular;1505.0;;Plexiglass;White;;;330.0;29.0;1;1;1;280.0
Gallet;Manual winding;Steel;Steel;1960.0;Used (Good);No original box, no original papers;Men's watch/Unisex;6320.0;Item is in stock;Circular;537.3325;;Plexiglass;Brown;Steel;Fold clasp;905.0;429.0;1;1;1;721.0
Swiss Military;Quartz;Steel;Steel;;New;Original box, original papers;Men's watch/Unisex;237.0;Item is in stock;Circular;692.37;5.0;Mineral Glass;Green;Silver;Fold clasp;125.0;84.0;1;1;1;106.0
Hanhart;Automatic;Steel;Textile;2023.0;;Original box, original papers;Men's watch/Unisex;2592.0;Item is in stock;Circular;759.88;10.0;Sapphire crystal;Champagne;;;4592.0;516.0;1;1;1;3952.0
Terra Cielo Mare;Automatic;Steel;Steel;;New;Original box, original papers;Men's watch/Unisex;962.0;Item needs to be procured;Circular;759.88;5.0;Sapphire crystal;Silver;Steel;;1736.0;938.0;1;1;1;1374.0
Jacob & Co.;Manual winding;Steel;Alligator skin;;Used (Very good);Original box, original papers;Men's watch/Unisex;4950.0;Item is in stock;;;;;Blue;;;58.0;15.0;1;1;1;48.0
Graham;Automatic;Steel;Textile;2015.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;3660.0;Item is in stock;Circular;867.0325;10.0;Sapphire crystal;Green;;;218.0;26.0;1;0;1;145.0
TAG Heuer;Quartz;Steel;Steel;;Used (Very good);Original box, no original papers;;1595.0;Item is in stock;Circular;307.72;20.0;Sapphire crystal;Gold;Steel;Fold clasp;977.0;957.0;1;1;1;573.0
TB Buti;Automatic;Titanium;Rubber;2012.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;1729.0;Item is in stock;;;;Sapphire crystal;Blue;Black;Buckle;;;0;0;0;
Poljot;Manual winding;;Leather;1988.0;Used (Good);No original box, no original papers;Men's watch/Unisex;215.0;Item is in stock;Rectangular;1786.0;;;Blue;Grey;;1431.0;1140.0;0;0;1;1031.0
Graham;Automatic;Steel;Rubber;;Used (Good);No original box, no original papers;Men's watch/Unisex;3951.0;Item needs to be procured;Circular;867.0325;10.0;Sapphire crystal;Black;Beige;Buckle;439.0;2400.0;0;1;1;320.0
Junghans;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;1612.0;Item is in stock;Circular;596.9925000000001;3.0;Plastic;Black;Steel;Fold clasp;511.0;81.0;1;1;1;382.0
Norqain;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;3889.0;Item available on request;Circular;628.0;;;Blue;;;845.0;3506.0;0;1;1;610.0
Patek Philippe;Automatic;Steel;Steel;;Used (Very good);Original box, original papers;Men's watch/Unisex;55000.0;Item is in stock;Circular;537.3325;10.0;Sapphire crystal;Black;Steel;Fold clasp;123.0;225.0;1;1;1;88.0
Lucien Rochat;Quartz;Steel;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;465.0;Item is in stock;Rectangular;2200.0;;;Silver;Blue;;;;0;0;0;
A. Lange & Söhne;Manual winding;White gold;Alligator skin;;;Original box, original papers;;;Item is in stock;Circular;581.783125;;;Silver;;;322.0;1714.0;0;1;1;242.0
Timex;Quartz;Steel;Rubber;;Used (Very good);Original box, no original papers;Men's watch/Unisex;299.0;Item is in stock;Circular;725.7325000000001;10.0;Sapphire crystal;;;;;;0;0;0;
Tutima;Automatic;Steel;;;Used (Very good);Original box, no original papers;Men's watch/Unisex;1910.0;Item needs to be procured;Circular;659.7925;20.0;;Green;Brown;;193.0;183.0;0;1;1;150.0
Ball;Automatic;Steel;;;Used (Good);Original box, no original papers;Men's watch/Unisex;866.0;Item is in stock;Circular;628.0;;;Black;Silver;;6076.0;1252.0;1;1;1;4239.0
B.R.M;Automatic;Titanium;Leather;;New;Original box, original papers;Men's watch/Unisex;8535.0;Item is in stock;;;;;Silver;;;18.0;99.0;0;1;1;16.0
Franck Muller;;;;;Used (Good);No original box, no original papers;;8100.0;Item is in stock;;;;;;;;254.0;536.0;0;0;1;202.0
Dior;Quartz;Steel;Rubber;;Used (Good);No original box, no original papers;Men's watch/Unisex;2015.0;Item is in stock;Circular;566.77;;Sapphire crystal;Black;Black;Fold clasp;810.0;769.0;1;1;1;640.0
Laco;Automatic;Steel;Calf skin;2024.0;New;Original box, original papers;Men's watch/Unisex;2107.0;Item is in stock;Circular;692.37;5.0;Sapphire crystal;;Brown;;1473.0;338.0;1;1;1;1088.0
Cuervo y Sobrinos;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;3781.0;Item is in stock;;;;;Blue;;;369.0;49.0;1;1;1;324.0
Hanhart;Manual winding;Steel;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;1675.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Black;Black;Buckle;;;0;0;0;
Marvin;Automatic;Steel;Leather;;Used (Good);Original box, original papers;Men's watch/Unisex;432.0;Item is in stock;Circular;692.37;;Sapphire crystal;;Black;Buckle;;;0;0;0;
Glashütte Original;Automatic;Steel;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;3849.0;Item is in stock;Circular;759.88;;Sapphire crystal;Black;Brown;Buckle;2946.0;279.0;1;1;1;2094.0
Norqain;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;2501.0;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Brown;Steel;;6322.0;1273.0;1;1;1;4687.0
Eberhard & Co.;Manual winding;Steel;Steel;;Used (Very good);No original box, no original papers;Men's watch/Unisex;1070.0;Item is in stock;Circular;725.7325000000001;;Sapphire crystal;White;;Buckle;286.0;187.0;1;1;1;209.0
Frederique Constant;Automatic;Gold/Steel;Leather;1995.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;2200.0;Item is in stock;Circular;508.68;;;White;Brown;;;;0;0;0;
Breguet;Automatic;White gold;;;Used (Very good);Original box, original papers;Men's watch/Unisex;54600.0;Item is in stock;Circular;725.7325000000001;;Sapphire crystal;;;;2038.0;293.0;1;1;1;1659.0
Swiss Military;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;830.5300000000001;10.0;Sapphire crystal;Black;Gold;Fold clasp;14627.0;5541.0;1;1;1;7424.0
Garmin;Quartz;Titanium;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1551.0;Item is in stock;Circular;725.7325000000001;20.0;Sapphire crystal;Black;Grey;Buckle;3946.0;136.0;1;1;1;3377.0
Glashütte Original;Automatic;Steel;Alligator skin;2024.0;New;Original box, no original papers;Women's watch;8827.0;Item needs to be procured;Circular;414.578125;3.0;Sapphire crystal;Blue;Blue;Fold clasp;2222.0;4987.0;1;1;1;1454.0
Carl F. Bucherer;Automatic;Rose gold;Leather;;Used (Very good);Original box, no original papers;Men's watch/Unisex;13000.0;Item is in stock;Circular;725.7325000000001;;Sapphire crystal;Black;Black;Double-fold clasp;1604.0;1677.0;1;1;1;1147.0
Swiss Military;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;323.0;Item is in stock;Circular;659.7925;5.0;Mineral Glass;Black;Silver;Fold clasp;14627.0;5541.0;1;1;1;7424.0
Titus;Manual winding;Rose gold;Leather;;Used (Good);No original box, no original papers;Men's watch/Unisex;1729.0;Item is in stock;Circular;537.3325;;Plexiglass;Gold;Blue;Buckle;1326.0;544.0;1;1;1;946.0
Certina;;;;;New;Original box, original papers;Men's watch/Unisex;740.0;Item is in stock;;;;;;;;2329.0;2505.0;0;1;1;1742.0
Laco;Quartz;Steel;Calf skin;2023.0;New;Original box, original papers;Men's watch/Unisex;210.0;Item is in stock;Circular;628.0;5.0;Sapphire crystal;Black;Brown;Buckle;723.0;497.0;1;0;1;548.0
Lip;Manual winding;Steel;Steel;1970.0;Used (Good);No original box, no original papers;Men's watch/Unisex;238.0;Item is in stock;Rectangular;936.0;;Plexiglass;Silver;Steel;Fold clasp;;;0;0;0;
Lip;;;;2020.0;Used (Very good);Original box, no original papers;;270.0;Item is in stock;Circular;628.0;;;;;;;;0;0;0;
Mido;Automatic;Steel;Rubber;;New;Original box, original papers;Men's watch/Unisex;1650.0;Item is in stock;Circular;759.88;10.0;Sapphire crystal;Black;Black;Fold clasp;20.0;36.0;0;0;1;15.0
Orfina;Automatic;;;;Like new & unworn;Original box, original papers;Men's watch/Unisex;1783.0;Item is in stock;Circular;675.983125;;;;;;;;0;0;0;
Tudor;Automatic;Titanium;Titanium;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;4075.0;Item is in stock;Circular;596.9925000000001;20.0;Sapphire crystal;Black;;Fold clasp;2657.0;772.0;0;1;1;1784.0
Zeppelin;Quartz;Steel;Leather;;New;Original box, original papers;Men's watch/Unisex;269.0;Item needs to be procured;Circular;659.7925;5.0;Mineral Glass;White;Brown;Buckle;2329.0;2505.0;0;1;1;1742.0
Ingersoll;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;420.0;Item is in stock;Circular;725.7325000000001;10.0;Mineral Glass;Black;Brown;Buckle;5461.0;4128.0;0;1;1;3305.0
Seiko;Quartz;Steel;;;Used (Very good);No original box, no original papers;Men's watch/Unisex;520.0;Item is in stock;Rectangular;812.0;;;;;;;;0;0;0;
Franck Muller;Automatic;Titanium;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;18450.0;Item is in stock;Rectangular;2362.8;;Sapphire crystal;Black;Black;Fold clasp;1153.0;337.0;1;1;1;858.0
Laurent Ferrier;Automatic;;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;60000.0;Item is in stock;Circular;628.0;3.0;Sapphire crystal;;;Buckle;955.0;514.0;0;0;1;807.0
Breguet;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;19655.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Silver;Steel;Fold clasp;2.0;48.0;0;1;1;4.0
Roger Dubuis;Automatic;White gold;Leather;2003.0;Used (Very good);Original box, original papers;Men's watch/Unisex;32800.0;Item is in stock;Circular;628.0;;;Mother of pearl;;Fold clasp;275.0;1143.0;1;0;1;183.0
Doxa;Automatic;Yellow gold;Leather;1971.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;995.0;Item is in stock;Rectangular;1400.0;;Plexiglass;Silver;Brown;;1391.0;1102.0;1;1;1;860.0
Michel Herbelin;;;;2024.0;New;Original box, original papers;;264.0;Item is in stock;;;;;;;;732.0;3495.0;0;1;1;410.0
Ernst Benz;Automatic;Steel;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;2000.0;Item is in stock;Circular;867.0325;5.0;Sapphire crystal;;Black;Buckle;;;0;0;0;
Maurice de Mauriac;Automatic;Steel;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;5013.0;Item available on request;Circular;596.9925000000001;30.0;Sapphire crystal;;;Buckle;566.0;994.0;1;1;1;448.0
Rolex;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;15950.0;Item is in stock;Circular;659.7925;30.0;Sapphire crystal;Black;Steel;Fold clasp;1281.0;1384.0;1;1;1;798.0
Meistersinger;Automatic;Steel;Calf skin;;Like new & unworn;Original box, no original papers;Men's watch/Unisex;2798.0;Item is in stock;Circular;628.0;5.0;Sapphire crystal;;Brown;Buckle;648.0;74.0;1;1;1;448.0
Gerald Charles;Automatic;Titanium;Rubber;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;15005.0;Item is in stock;Circular;596.9925000000001;100.0;;Green;Green;Buckle;282.0;841.0;1;0;1;221.0
Cartier;Quartz;Steel;Steel;2024.0;New;Original box, original papers;Women's watch;4300.0;Item is in stock;Rectangular;690.0;3.0;Glass;Silver (solid);Silver;Double-fold clasp;2260.0;439.0;1;1;1;1329.0
Jacques Lemans;Quartz;Steel;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;54.0;Item is in stock;Circular;794.8125;;;Black;Brown;;;;0;0;0;
Angelus;Manual winding;Titanium;Rubber;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;34031.0;Item is in stock;;;;;;;;165.0;55.0;1;1;1;125.0
Dewitt;;;;;Used (Very good);No original box, no original papers;Men's watch/Unisex;5670.0;Item needs to be procured;Circular;725.7325000000001;;;;;;777.0;980.0;1;1;1;524.0
Zodiac;Automatic;Steel;Steel;2020.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;421.0;Item is in stock;Circular;628.0;;;;Steel;;;;0;0;0;
Tiffany;Quartz;Steel;;;Used (Fair);Original box, original papers;;612.0;Item needs to be procured;Circular;508.68;;;Black;Black;;589.0;649.0;0;1;1;410.0
Union Glashütte;Manual winding;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;2766.0;Item available on request;Circular;659.7925;10.0;Sapphire crystal;White;Steel;Fold clasp;1121.0;443.0;0;1;1;790.0
Movado;Manual winding;Platinum;Steel;1950.0;Used (Good);No original box, no original papers;Women's watch;4599.0;Item is in stock;Circular;76.93;;Plastic;White;Silver;;89.0;11.0;1;1;1;52.0
Corum;Automatic;Steel;Steel;2021.0;New;Original box, original papers;Men's watch/Unisex;6000.0;Item is in stock;Circular;692.37;5.0;Sapphire crystal;Grey;Steel;Double-fold clasp;249.0;163.0;1;0;1;172.0
Festina;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Women's watch;85.0;Item is in stock;Circular;307.72;10.0;Mineral Glass;Silver;Silver;Fold clasp;14627.0;5541.0;1;1;1;7424.0
Parmigiani Fleurier;Automatic;Rose gold;Crocodile skin;2016.0;Used (Good);Original box, no original papers;Men's watch/Unisex;15500.0;Item is in stock;Circular;725.7325000000001;;Sapphire crystal;Silver;Brown;Buckle;75.0;65.0;0;1;1;52.0
Sea-Gull;Manual winding;Gold/Steel;Leather;2021.0;New;Original box, original papers;Men's watch/Unisex;699.0;Item is in stock;Circular;659.7925;5.0;Sapphire crystal;Champagne;Brown;Double-fold clasp;2052.0;322.0;1;1;1;1355.0
JeanRichard;Automatic;Steel;Leather;;Used (Very good);Original box, no original papers;Men's watch/Unisex;972.0;Item is in stock;Circular;628.0;;;Black;Black;;;;0;0;0;
Ball;Automatic;Steel;Steel;2021.0;New;Original box, original papers;Men's watch/Unisex;1500.0;Item is in stock;Circular;377.1925;10.0;Sapphire crystal;Mother of pearl;Silver;Fold clasp;319.0;517.0;1;1;1;169.0
