Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Rotary;Quartz;Yellow gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;157.0;Item is in stock;;;;;;Brown;Buckle;;;0;0;0;
Graham;Automatic;Steel;Calf skin;;Used (Very good);Original box, original papers;;2496.0;Item is in stock;Circular;725.7325000000001;;;Black;Brown;;1174.0;1041.0;1;1;1;960.0
Louis Vuitton;Quartz;;;;Used (Very good);No original box, no original papers;Women's watch;777.0;Item is in stock;Circular;286.1325;;;;;;478.0;223.0;0;1;1;359.0
F.P.Journe;Manual winding;Tantalum;Crocodile skin;2014.0;Used (Very good);Original box, original papers;Men's watch/Unisex;85999.0;Item needs to be procured;Circular;596.9925000000001;;Sapphire crystal;Blue;Orange;Buckle;11.0;20.0;1;1;1;8.0
Garmin;Quartz;Titanium;Titanium;2024.0;New;Original box, original papers;Men's watch/Unisex;1399.0;Item needs to be procured;Circular;867.0325;10.0;Sapphire crystal;Black;Grey;;6322.0;1273.0;1;1;1;4685.0
Venezianico;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;610.0;Item is in stock;Circular;692.37;20.0;Sapphire crystal;Green;Steel;Buckle;816.0;338.0;1;1;1;670.0
Habring²;Manual winding;Steel;;;New;Original box, original papers;Men's watch/Unisex;10549.0;Item is in stock;Circular;581.783125;;;Blue;;;28.0;47.0;1;1;1;26.0
Franck Muller;Automatic;Rose gold;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;19999.0;Item is in stock;Rectangular;2362.8;;Sapphire crystal;White;;;20.0;53.0;1;1;1;14.0
Harry Winston;Quartz;;;2024.0;Used (Very good);Original box, original papers;;9318.0;Item is in stock;;;3.0;Sapphire crystal;Silver;Black;Buckle;22.0;335.0;1;1;1;15.0
Eberhard & Co.;Automatic;Steel;Leather;2005.0;Used (Good);Original box, original papers;Men's watch/Unisex;972.0;Item is in stock;;;;;Gold;;;663.0;178.0;1;1;1;535.0
U-Boat;Quartz;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;975.0;Item is in stock;;;;;Black;;;3529.0;1250.0;0;1;1;2421.0
Zeppelin;Automatic;Steel;Leather;;New;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;692.37;5.0;Mineral Glass;Champagne;Brown;Buckle;2328.0;2505.0;0;1;1;1742.0
Clerc;Automatic;;Rubber;2010.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;2500.0;Item is in stock;Circular;904.32;50.0;Sapphire crystal;Black;;Fold clasp;467.0;300.0;1;1;1;305.0
Enicar;Automatic;Steel;;1960.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;3565.0;Item is in stock;Rectangular;1620.6;;;Black;;;;;0;0;0;
Swiss Military;Quartz;Steel;Steel;;New;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;830.5300000000001;100.0;Sapphire crystal;Green;Steel;Fold clasp;125.0;84.0;1;1;1;106.0
Traser;Quartz;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;594.0;Item is in stock;Circular;830.5300000000001;20.0;Sapphire crystal;Black;Black;Buckle;1473.0;338.0;1;1;1;1088.0
Slava;Automatic;Steel;Leather;1980.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;465.0;Item is in stock;Rectangular;1591.0;;;White;Brown;;78.0;207.0;0;0;1;55.0
Norqain;Automatic;Steel;Steel;2021.0;Used (Good);Original box, original papers;Men's watch/Unisex;1370.0;Item is in stock;Circular;659.7925;;;Black;Silver;;;;0;0;0;
Romain Jerome;Automatic;Steel;Rubber;2023.0;New;Original box, original papers;Men's watch/Unisex;5643.0;Item needs to be procured;Circular;830.5300000000001;3.0;Sapphire crystal;Brown;Black;Fold clasp;549.0;238.0;1;1;1;480.0
Cyrus;Automatic;Titanium;Rubber;2021.0;New;Original box, original papers;Men's watch/Unisex;79000.0;Item is in stock;Circular;867.0325;3.0;Sapphire crystal;Black;Black;Double-fold clasp;11.0;37.0;0;1;1;11.0
Romain Jerome;Automatic;;;2018.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;7345.0;Item is in stock;Circular;628.0;;;;;;;;0;0;0;
Maserati;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;248.0;Item is in stock;Circular;794.8125;10.0;Sapphire crystal;Green;Silver;Fold clasp;14626.0;5551.0;1;1;1;7424.0
Pequignet;;Steel;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;8989.0;Item is in stock;Circular;692.37;5.0;Sapphire crystal;Black;;Fold clasp;3077.0;1600.0;1;1;1;2206.0
Doxa;Manual winding;;;1965.0;Used (Good);No original box, no original papers;Men's watch/Unisex;199.0;Item is in stock;Rectangular;350.0;;;;;;;;0;0;0;
Parmigiani Fleurier;Automatic;Steel;Steel;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;16674.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Silver;Steel;Fold clasp;1.0;10.0;0;1;1;
Chanel;Automatic;Steel;Rubber;2010.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;7400.0;Item is in stock;Circular;659.7925;20.0;Sapphire crystal;Black;;Buckle;467.0;300.0;1;1;1;305.0
Philip Watch;Quartz;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;421.0;Item is in stock;;;10.0;Sapphire crystal;White;Black;Fold clasp;4.0;62.0;0;1;1;3.0
