Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Crystal;Dial;Bracelet color;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews;age;is_modern;price_log;seller_reputation_score;scope_score;price_anomaly_low;price_anomaly_high;seller_consistent
Norqain;Automatic;Steel;Leather;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;3790.0;Item is in stock;Rectangular;1886.0;Sapphire crystal;Black;Brown;1420.0;1844.0;1;0;1;876.0;2.0;1;8.240385115516334;0.6666666666666666;3;0;0;0
Bertolucci;Quartz;Steel;Textile;1999.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;4945.0;Item is in stock;Circular;113.4325;Sapphire crystal;Brown;Black;171.0;215.0;1;0;1;121.0;27.0;0;8.506334448081361;0.6666666666666666;0;0;0;0
Helvetia;Manual winding;Steel;Leather;1930.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;1675.0;Item is in stock;Circular;659.7925;Mineral Glass;Black;Green;404.0;52.0;1;1;1;308.0;96.0;0;7.424165281042028;1.0;0;0;0;1
Ikepod;Automatic;Steel;Rubber;2010.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;2409.0;Item is in stock;Circular;566.77;Sapphire crystal;White;Orange;580.0;419.0;0;0;0;448.0;16.0;1;7.787382026484701;0.0;0;0;0;1
Victorinox Swiss Army;Quartz;Steel;Steel;2023.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;216.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Steel;1408.0;712.0;0;0;1;958.0;3.0;1;5.37989735354046;0.3333333333333333;0;0;0;1
NOMOS;Manual winding;Steel;Leather;2022.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;1383.0;Item is in stock;Circular;551.953125;Sapphire crystal;White;Black;722.0;500.0;1;0;1;548.0;4.0;1;7.232733136177615;0.6666666666666666;0;0;0;1
Rotary;Quartz;Yellow gold;Leather;1991.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;157.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Brown;580.0;419.0;0;0;0;448.0;35.0;0;5.062595033026967;0.0;0;0;0;1
Graham;Automatic;Steel;Calf skin;2014.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2496.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Black;Brown;1174.0;1041.0;1;1;1;960.0;12.0;1;7.822845290279774;1.0;3;0;0;1
Louis Vuitton;Quartz;Steel;Leather;2016.0;Used (Very good);No original box, no original papers;Women's watch;777.0;Item is in stock;Circular;286.1325;Sapphire crystal;Black;Black;478.0;223.0;0;1;1;359.0;10.0;1;6.656726524178391;0.6666666666666666;0;0;0;1
F.P.Journe;Manual winding;Tantalum;Crocodile skin;2014.0;Used (Very good);Original box, original papers;Men's watch/Unisex;85999.0;Item needs to be procured;Circular;596.9925000000001;Sapphire crystal;Blue;Orange;11.0;20.0;1;1;1;8.0;12.0;1;11.362102575235644;1.0;3;0;0;0
Garmin;Quartz;Titanium;Titanium;2024.0;New;Original box, original papers;Men's watch/Unisex;1399.0;Item needs to be procured;Circular;867.0325;Sapphire crystal;Black;Grey;6322.0;1273.0;1;1;1;4685.0;2.0;1;7.24422751560335;1.0;3;0;0;1
Venezianico;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;610.0;Item is in stock;Circular;692.37;Sapphire crystal;Green;Steel;816.0;338.0;1;1;1;670.0;2.0;1;6.415096959171596;1.0;3;0;0;1
Habring²;Manual winding;Steel;Leather;2021.0;New;Original box, original papers;Men's watch/Unisex;10549.0;Item is in stock;Circular;581.783125;Sapphire crystal;Blue;Black;28.0;47.0;1;1;1;26.0;5.0;1;9.263881138904212;1.0;3;0;0;0
Franck Muller;Automatic;Rose gold;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;19999.0;Item is in stock;Rectangular;2310.0;Sapphire crystal;White;Black;20.0;53.0;1;1;1;14.0;3.0;1;9.903487552536127;1.0;3;0;0;0
Harry Winston;Quartz;Steel;Leather;2024.0;Used (Very good);Original box, original papers;Men's watch/Unisex;9318.0;Item is in stock;Circular;692.37;Sapphire crystal;Silver;Black;22.0;335.0;1;1;1;15.0;2.0;1;9.139810605785655;1.0;3;0;0;0
Eberhard & Co.;Automatic;Steel;Leather;2005.0;Used (Good);Original box, original papers;Men's watch/Unisex;972.0;Item is in stock;Circular;692.37;Sapphire crystal;Gold;Black;663.0;178.0;1;1;1;535.0;21.0;1;6.880384082186005;1.0;3;0;0;1
U-Boat;Quartz;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;975.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;3529.0;1250.0;0;1;1;2421.0;2.0;1;6.883462586413092;0.6666666666666666;3;0;0;1
Zeppelin;Automatic;Steel;Leather;2022.0;New;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;692.37;Mineral Glass;Champagne;Brown;2328.0;2505.0;0;1;1;1742.0;4.0;1;6.29156913955832;0.6666666666666666;3;0;0;0
Clerc;Automatic;Steel;Rubber;2010.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;2500.0;Item is in stock;Circular;904.32;Sapphire crystal;Black;Black;467.0;300.0;1;1;1;305.0;16.0;1;7.824445930877619;1.0;2;0;0;1
Enicar;Automatic;Steel;Leather;1960.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;3565.0;Item is in stock;Rectangular;1620.6;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;66.0;0;8.179199798423086;0.0;2;0;0;1
Swiss Military;Quartz;Steel;Steel;2022.5;New;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;830.5300000000001;Sapphire crystal;Green;Steel;125.0;84.0;1;1;1;106.0;3.5;1;6.29156913955832;1.0;3;0;0;1
Traser;Quartz;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;594.0;Item is in stock;Circular;830.5300000000001;Sapphire crystal;Black;Black;1473.0;338.0;1;1;1;1088.0;2.0;1;6.38856140554563;1.0;3;0;0;1
Slava;Automatic;Steel;Leather;1980.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;465.0;Item is in stock;Rectangular;1591.0;Sapphire crystal;White;Brown;78.0;207.0;0;0;1;55.0;46.0;0;6.144185634125646;0.3333333333333333;0;0;0;0
Norqain;Automatic;Steel;Steel;2021.0;Used (Good);Original box, original papers;Men's watch/Unisex;1370.0;Item is in stock;Circular;659.7925;Sapphire crystal;Black;Silver;580.0;419.0;0;0;0;448.0;5.0;1;7.223295679562314;0.0;3;0;0;1
Romain Jerome;Automatic;Steel;Rubber;2023.0;New;Original box, original papers;Men's watch/Unisex;5643.0;Item needs to be procured;Circular;830.5300000000001;Sapphire crystal;Brown;Black;549.0;238.0;1;1;1;480.0;3.0;1;8.638348312972704;1.0;3;0;0;1
Cyrus;Automatic;Titanium;Rubber;2021.0;New;Original box, original papers;Men's watch/Unisex;79000.0;Item is in stock;Circular;867.0325;Sapphire crystal;Black;Black;11.0;37.0;0;1;1;11.0;5.0;1;11.277215789596893;0.6666666666666666;3;0;0;0
Romain Jerome;Automatic;Steel;Leather;2018.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;7345.0;Item is in stock;Circular;628.0;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;8.0;1;8.901911226379612;0.0;3;0;0;1
Maserati;Quartz;Steel;Steel;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;248.0;Item is in stock;Circular;794.8125;Sapphire crystal;Green;Silver;14626.0;5551.0;1;1;1;7424.0;3.0;1;5.517452896464707;1.0;3;0;0;1
Pequignet;Automatic;Steel;Leather;2022.5;Like new & unworn;Original box, original papers;Men's watch/Unisex;8989.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;3077.0;1600.0;1;1;1;2206.0;3.5;1;9.103868127465667;1.0;3;0;0;1
Doxa;Manual winding;Steel;Leather;1965.0;Used (Good);No original box, no original papers;Men's watch/Unisex;199.0;Item is in stock;Rectangular;350.0;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;61.0;0;5.298317366548036;0.0;0;0;0;1
Parmigiani Fleurier;Automatic;Steel;Steel;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;16674.0;Item is in stock;Circular;692.37;Sapphire crystal;Silver;Steel;1.0;10.0;0;1;1;448.0;3.0;1;9.721665870783825;0.6666666666666666;3;0;0;0
Chanel;Automatic;Steel;Rubber;2010.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;7400.0;Item is in stock;Circular;659.7925;Sapphire crystal;Black;Black;467.0;300.0;1;1;1;305.0;16.0;1;8.909370405197466;1.0;0;0;0;1
Philip Watch;Quartz;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;421.0;Item is in stock;Circular;692.37;Sapphire crystal;White;Black;4.0;62.0;0;1;1;3.0;2.0;1;6.045005314036012;0.6666666666666666;3;0;0;0
